"filename", "language", "JSON with Comments", "TypeScript", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\.env", "Dotenv", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\.lovable\plan.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 12, 48
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\README.md", "Markdown", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 16, 74
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\bun.lock", "JSON with Comments", 674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 587, 1261
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\components.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\docs\arquitetura.md", "Markdown", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 19, 65
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\docs\banco.md", "Markdown", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 19, 73
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\docs\comercial.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 30, 89
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 18, 45
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\package-lock.json", "JSON", 0, 0, 8773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8774
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\package.json", "JSON", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\playwright-fixture.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\playwright.config.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 11
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 41
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\scripts\expandComposicao.js", "JavaScript", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 4, 42, 264
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\scripts\importSinapi.js", "JavaScript", 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 0, 88, 414
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 1, 26, 192
