"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\App.css", "CSS", 0, 0, -37, 0, -6, -43
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\App.tsx", "TypeScript JSX", -175, 0, 0, -4, -27, -206
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\AppLayout.tsx", "TypeScript JSX", -539, 0, 0, -27, -55, -621
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\CommandPalette.tsx", "TypeScript JSX", -144, 0, 0, -4, -15, -163
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\DemoModeBar.tsx", "TypeScript JSX", -223, 0, 0, -14, -16, -253
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ErrorBoundary.tsx", "TypeScript JSX", -111, 0, 0, -4, -14, -129
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\GlobalFAB.tsx", "TypeScript JSX", -93, 0, 0, -6, -14, -113
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\NavLink.tsx", "TypeScript JSX", -24, 0, 0, 0, -5, -29
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\NotificationCenter.tsx", "TypeScript JSX", -160, 0, 0, -8, -16, -184
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\PageHeader.tsx", "TypeScript JSX", -79, 0, 0, 0, -5, -84
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ProtectedRoute.tsx", "TypeScript JSX", -20, 0, 0, 0, -6, -26
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\cronograma\CurvaS.tsx", "TypeScript JSX", -170, 0, 0, -9, -23, -202
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\cronograma\GanttCanvasPanel.tsx", "TypeScript JSX", -607, 0, 0, -50, -89, -746
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\cronograma\TaskDetailDrawer.tsx", "TypeScript JSX", -483, 0, 0, -13, -38, -534
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\custo-real\CustoRealEditor.tsx", "TypeScript JSX", -231, 0, 0, -11, -18, -260
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\diario\DiarioFotoUpload.tsx", "TypeScript JSX", -83, 0, 0, 0, -10, -93
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\diario\DiarioReportPicker.tsx", "TypeScript JSX", -106, 0, 0, 0, -10, -116
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\execucao\DiarioTab.tsx", "TypeScript JSX", -656, 0, 0, -25, -41, -722
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\execucao\EquipeTab.tsx", "TypeScript JSX", -78, 0, 0, -1, -8, -87
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\execucao\EstoqueQuickView.tsx", "TypeScript JSX", -94, 0, 0, -3, -9, -106
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\execucao\PendenciasPanel.tsx", "TypeScript JSX", -288, 0, 0, -8, -21, -317
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\gantt\GanttBar.tsx", "TypeScript JSX", -184, 0, 0, -2, -18, -204
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\gantt\GanttConfirmDialog.tsx", "TypeScript JSX", -102, 0, 0, -1, -12, -115
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\gantt\GanttDependencyArrows.tsx", "TypeScript JSX", -96, 0, 0, -3, -15, -114
